iter	Passed	Remaining
400	24745	98674
401	24808	98615
402	24870	98554
403	24929	98482
404	25021	98540
405	25088	98499
406	25148	98432
407	25213	98382
408	25279	98336
409	25340	98270
410	25398	98195
411	25459	98131
412	25520	98065
413	25607	98098
414	25667	98029
415	25726	97957
416	25790	97905
417	25849	97832
418	25911	97769
419	26006	97835
420	26074	97795
421	26142	97755
422	26218	97745
423	26319	97827
424	26380	97761
425	26441	97697
426	26500	97623
427	26560	97555
428	26645	97575
429	26708	97517
430	26769	97452
431	26830	97385
432	26890	97313
433	26952	97251
434	26961	96999
435	27043	97007
436	27113	96975
437	27175	96911
438	27235	96842
439	27311	96830
440	27327	96607
441	27391	96551
442	27451	96483
443	27512	96418
444	27576	96361
445	27639	96305
446	27644	96045
447	27706	95982
448	27768	95922
449	27777	95676
450	27856	95675
451	27920	95622
452	27980	95552
453	27988	95307
454	28048	95240
455	28109	95178
456	28170	95115
457	28233	95056
458	28293	94991
459	28380	95013
460	28447	94968
461	28457	94736
462	28518	94672
463	28578	94605
464	28638	94538
465	28698	94470
466	28760	94411
467	28825	94361
468	28908	94367
469	28982	94346
470	29046	94292
471	29112	94244
472	29178	94197
473	29242	94142
474	29320	94132
475	29383	94075
476	29448	94025
477	29461	93806
478	29526	93757
479	29588	93697
480	29666	93686
481	29730	93631
482	29792	93572
483	29856	93517
484	29916	93449
485	29975	93381
486	30034	93311
487	30096	93248
488	30174	93239
489	30250	93220
490	30313	93163
491	30377	93107
492	30436	93038
493	30497	92975
494	30557	92907
495	30619	92844
496	30693	92822
497	30713	92633
498	30780	92587
499	30843	92530
500	30909	92480
501	30971	92420
502	31031	92354
503	31094	92297
504	31179	92302
505	31251	92273
506	31312	92208
507	31372	92141
508	31433	92077
509	31494	92014
510	31554	91945
511	31615	91881
512	31626	91674
513	31714	91688
514	31778	91633
515	31840	91572
516	31902	91511
517	31964	91450
518	32025	91386
519	32086	91323
520	32147	91259
521	32212	91207
522	32304	91229
523	32365	91167
524	32425	91098
525	32487	91038
526	32546	90970
527	32606	90903
528	32665	90834
529	32733	90789
530	32813	90776
531	32873	90710
532	32939	90660
533	33002	90602
534	33061	90533
535	33124	90473
536	33214	90488
537	33279	90435
538	33340	90370
539	33400	90304
540	33461	90239
541	33524	90180
542	33585	90117
543	33645	90051
544	33705	89984
545	33794	89994
546	33855	89929
547	33870	89744
548	33932	89682
549	34021	89692
550	34085	89637
551	34153	89591
552	34214	89527
553	34273	89457
554	34334	89393
555	34417	89386
556	34483	89335
557	34547	89279
558	34611	89222
559	34672	89159
560	34737	89104
561	34743	88899
562	34804	88835
563	34870	88783
564	34971	88822
565	35033	88759
566	35099	88707
567	35162	88648
568	35224	88586
569	35287	88527
570	35348	88465
571	35408	88397
572	35477	88353
573	35554	88329
574	35616	88267
575	35675	88198
576	35737	88136
577	35797	88069
578	35803	87869
579	35862	87801
580	35923	87738
581	35996	87702
582	36070	87671
583	36141	87629
584	36211	87587
585	36277	87536
586	36344	87487
587	36411	87437
588	36511	87465
589	36588	87441
590	36666	87416
591	36749	87404
592	36772	87248
593	36849	87222
594	36945	87241
595	37013	87192
596	37081	87144
597	37156	87113
598	37229	87075
599	37342	87132
600	37411	87087
601	37475	87027
602	37538	86967
603	37600	86904
604	37624	86753
605	37651	86611
606	37719	86561
607	37786	86512
608	37870	86498
609	37932	86437
610	37997	86380
611	38057	86314
612	38121	86255
613	38215	86264
614	38280	86207
615	38341	86143
616	38401	86076
617	38463	86014
618	38524	85949
619	38584	85881
620	38663	85856
621	38737	85820
622	38840	85847
623	38919	85823
624	38985	85767
625	39068	85750
626	39134	85696
627	39197	85636
628	39269	85594
629	39362	85597
630	39373	85423
631	39440	85371
632	39534	85377
633	39602	85327
634	39667	85268
635	39736	85220
636	39800	85162
637	39863	85101
638	39960	85111
639	40028	85061
640	40034	84878
641	40099	84820
642	40108	84645
643	40171	84584
644	40240	84536
645	40303	84475
646	40366	84414
647	40437	84368
648	40534	84378
649	40597	84316
650	40657	84251
651	40723	84194
652	40787	84135
653	40848	84071
654	40926	84039
655	41007	84015
656	41070	83953
657	41142	83909
658	41220	83879
659	41292	83836
660	41358	83780
661	41447	83771
662	41517	83722
663	41577	83655
664	41644	83601
665	41714	83553
666	41793	83524
667	41889	83527
668	41953	83468
669	42018	83410
670	42121	83426
671	42190	83376
672	42250	83308
673	42316	83252
674	42415	83259
675	42482	83205
676	42551	83154
677	42563	82992
678	42625	82927
679	42697	82883
680	42713	82730
681	42793	82701
682	42859	82643
683	42924	82585
684	42991	82530
685	43077	82512
686	43143	82456
687	43239	82456
688	43303	82396
689	43365	82332
690	43430	82272
691	43501	82225
692	43562	82158
693	43641	82125
694	43714	82083
695	43776	82018
696	43837	81952
697	43902	81892
698	43969	81838
699	44033	81777
700	44100	81721
701	44223	81769
702	44234	81610
703	44303	81558
704	44372	81506
705	44380	81342
706	44446	81285
707	44515	81235
708	44604	81218
709	44669	81159
710	44742	81115
711	44809	81060
712	44893	81034
713	44974	81005
714	45043	80951
715	45117	80909
716	45127	80751
717	45239	80776
718	45308	80722
719	45380	80676
720	45487	80691
721	45501	80540
722	45584	80513
723	45650	80456
724	45742	80443
725	45814	80395
726	45898	80368
727	46089	80529
728	46244	80626
729	46259	80478
730	46341	80447
731	46411	80395
732	46475	80334
733	46579	80340
734	46656	80300
735	46726	80247
736	46839	80269
737	46904	80208
738	46976	80159
739	47044	80102
740	47139	80093
741	47211	80043
742	47315	80047
743	47383	79992
744	47445	79924
745	47513	79869
746	47575	79802
747	47635	79732
748	47705	79679
749	47756	79594
750	47838	79560
751	47902	79497
752	47988	79470
753	48086	79464
754	48150	79400
755	48157	79244
756	48223	79182
757	48290	79124
758	48357	79066
759	48439	79032
760	48543	79034
761	48611	78977
762	48673	78910
763	48742	78856
764	48835	78838
765	48896	78770
766	48981	78741
767	49061	78702
768	49125	78639
769	49195	78585
770	49288	78567
771	49351	78502
772	49444	78483
773	49511	78425
774	49576	78362
775	49673	78350
776	49754	78313
777	49841	78285
778	49933	78265
779	50006	78214
780	50080	78167
781	50188	78170
782	50258	78115
783	50321	78049
784	50391	77994
785	50460	77938
786	50522	77869
787	50606	77836
788	50677	77782
789	50738	77714
790	50801	77646
791	50812	77501
792	50888	77456
793	50968	77416
794	51037	77358
795	51112	77310
796	51184	77258
797	51261	77213
798	51340	77171
799	51408	77112
800	51474	77051
801	51544	76994
802	51609	76931
803	51676	76872
804	51743	76811
805	51810	76751
806	51883	76700
807	51968	76666
808	52044	76618
809	52119	76569
810	52188	76512
811	52262	76462
812	52385	76484
813	52496	76487
814	52579	76449
815	52672	76426
816	52753	76385
817	52832	76342
818	52909	76295
819	52981	76241
820	53048	76180
821	53121	76128
822	53197	76079
823	53266	76021
824	53331	75957
825	53399	75897
826	53474	75847
827	53549	75797
828	53639	75767
829	53723	75730
830	53805	75689
831	53893	75658
832	53962	75599
833	54053	75570
834	54133	75527
835	54222	75496
836	54289	75434
837	54370	75391
838	54443	75338
839	54515	75283
840	54610	75259
841	54709	75241
842	54833	75257
843	54898	75193
844	54971	75139
845	54979	74996
846	55046	74933
847	55110	74867
848	55188	74819
849	55280	74791
850	55345	74726
851	55410	74661
852	55498	74626
853	55561	74558
854	55623	74490
855	55687	74423
856	55752	74358
857	55816	74291
858	55901	74253
859	55991	74221
860	56062	74164
861	56131	74103
862	56194	74035
863	56274	73990
864	56346	73934
865	56410	73868
866	56473	73799
867	56535	73731
868	56612	73681
869	56689	73631
870	56750	73561
871	56814	73493
872	56877	73425
873	56938	73355
874	57044	73342
875	57120	73292
876	57191	73233
877	57275	73192
878	57348	73137
879	57434	73098
880	57501	73035
881	57562	72964
882	57628	72900
883	57700	72843
884	57772	72787
885	57857	72745
886	57930	72690
887	57997	72627
888	58066	72567
889	58134	72505
890	58207	72448
891	58281	72394
892	58345	72326
893	58433	72290
894	58501	72227
895	58567	72163
896	58677	72152
897	58749	72095
898	58816	72032
899	58879	71963
900	58943	71896
901	59009	71831
902	59100	71797
903	59169	71736
904	59232	71668
905	59300	71605
906	59361	71534
907	59423	71465
908	59526	71444
909	59589	71376
910	59676	71336
911	59741	71270
912	59806	71204
913	59874	71141
914	59979	71122
915	60061	71076
916	60148	71036
917	60248	71011
918	60263	70886
919	60365	70863
920	60463	70835
921	60552	70798
922	60616	70730
923	60760	70755
924	60873	70745
925	60888	70619
926	61007	70615
927	61099	70580
928	61189	70542
929	61213	70428
930	61284	70368
931	61358	70312
932	61485	70316
933	61502	70193
934	61582	70144
935	61593	70016
936	61708	70006
937	61831	70005
938	61962	70013
939	62058	69981
940	62204	70005
941	62280	69949
942	62363	69902
943	62441	69849
944	62451	69720
945	62554	69695
946	62630	69640
947	62699	69577
948	62769	69516
949	62880	69499
950	62964	69453
951	63043	69400
952	63113	69338
953	63178	69271
954	63243	69203
955	63249	69071
956	63348	69041
957	63411	68971
958	63477	68904
959	63541	68837
960	63609	68772
961	63677	68707
962	63771	68672
963	63841	68609
964	63903	68538
965	63969	68472
966	64062	68434
967	64135	68375
968	64148	68252
969	64213	68185
970	64278	68118
971	64343	68050
972	64406	67980
973	64474	67916
974	64479	67785
975	64569	67744
976	64637	67680
977	64700	67611
978	64765	67544
979	64829	67475
980	64893	67406
981	64954	67335
982	65019	67268
983	65108	67225
984	65178	67163
985	65243	67096
986	65312	67032
987	65388	66976
988	65459	66915
989	65525	66849
990	65600	66791
991	65719	66779
992	65804	66732
993	65924	66720
994	66023	66687
995	66098	66629
996	66163	66561
997	66246	66511
998	66317	66450
999	66385	66385
1000	66478	66345
1001	66542	66276
1002	66605	66206
1003	66687	66156
1004	66722	66058
1005	66786	65989
1006	66871	65941
1007	66894	65832
1008	66968	65773
1009	67034	65706
1010	67097	65637
1011	67161	65568
1012	67224	65499
1013	67287	65429
1014	67295	65306
1015	67376	65254
1016	67449	65194
1017	67516	65128
1018	67586	65066
1019	67610	64958
1020	67721	64935
1021	67787	64868
1022	67856	64804
1023	67930	64746
1024	67998	64681
1025	68067	64617
1026	68157	64573
1027	68220	64503
1028	68282	64433
1029	68368	64386
1030	68434	64319
