iter	RMSE
253	41579.39791
254	41579.31797
255	41562.19616
256	41543.01666
257	41530.97033
258	41520.20108
259	41503.52539
260	41491.56092
261	41484.60751
262	41469.00474
263	41460.26396
264	41441.95385
265	41422.6952
266	41405.89544
267	41395.00925
268	41388.4267
269	41370.84812
270	41341.56786
271	41321.50035
272	41306.65896
273	41288.51564
274	41270.9057
275	41258.10994
276	41238.43174
277	41218.47235
278	41201.41713
279	41170.13048
280	41158.75361
281	41138.99765
282	41120.31421
283	41088.50755
284	41074.14509
285	41050.50243
286	41029.98658
287	41020.88225
288	40999.35135
289	40989.42599
290	40978.00998
291	40958.43641
292	40943.40934
293	40931.48241
294	40917.43726
295	40902.57083
296	40886.1744
297	40871.49546
298	40855.76502
299	40844.23878
300	40824.62384
301	40806.27547
302	40794.3064
303	40778.47587
304	40747.48072
305	40741.24263
306	40731.08653
307	40710.60831
308	40703.59435
309	40685.0906
310	40668.24018
311	40653.05222
312	40640.45618
313	40627.38807
314	40608.00658
315	40597.02615
316	40587.63987
317	40571.6252
318	40560.0054
319	40551.13154
320	40535.03024
321	40525.15085
322	40511.36118
323	40503.09839
324	40489.16789
325	40477.91429
326	40468.59231
327	40457.68803
328	40444.54594
329	40439.55964
330	40426.79851
331	40412.59921
332	40393.93489
333	40377.91154
334	40366.00538
335	40351.47697
336	40339.35536
337	40326.94072
338	40312.66255
339	40294.90775
340	40280.04798
341	40266.96771
342	40255.82248
343	40244.88038
344	40233.31933
345	40207.57381
346	40198.8943
347	40179.71062
348	40163.88117
349	40156.02206
350	40143.39023
351	40130.73037
352	40117.65292
353	40107.98619
354	40097.03295
355	40087.71893
356	40072.42774
357	40062.21275
358	40044.99648
359	40038.008
360	40020.22303
361	40004.51592
362	39994.14475
363	39987.751
364	39968.99165
365	39956.11642
366	39946.8475
367	39935.79518
368	39928.05279
369	39924.6052
370	39912.22095
371	39901.03957
372	39886.21933
373	39871.1106
374	39870.75565
375	39859.55618
376	39850.26913
377	39841.43838
378	39830.44643
379	39810.90092
380	39796.2107
381	39790.06006
382	39777.04051
383	39766.84814
384	39757.09299
385	39745.88656
386	39739.91242
387	39732.17406
388	39717.02002
389	39703.39935
390	39692.08675
391	39692.0678
392	39692.04954
393	39682.72611
394	39676.5438
395	39660.36166
396	39644.06658
397	39629.3725
398	39624.71284
399	39616.38841
400	39606.81447
401	39592.37344
402	39588.4122
403	39575.65194
404	39571.42084
405	39552.09881
406	39540.55902
407	39531.54788
408	39516.67331
409	39499.78766
410	39491.47976
411	39479.74022
412	39467.13142
413	39455.32273
414	39451.49805
415	39442.63749
416	39436.24394
417	39429.42349
418	39418.82534
419	39403.17391
420	39389.18032
421	39373.67434
422	39366.98691
423	39354.92488
424	39344.88788
425	39325.21543
426	39312.90847
427	39296.89928
428	39289.8532
429	39283.11444
430	39275.54861
431	39264.97045
432	39258.30049
433	39248.38208
434	39248.34093
435	39243.78482
436	39231.88964
437	39223.32311
438	39212.55988
439	39192.60768
440	39192.54028
441	39184.09363
442	39174.79209
443	39166.75097
444	39149.87483
445	39140.26485
446	39140.25742
447	39127.96927
448	39118.60508
449	39118.56951
450	39112.69323
451	39103.75327
452	39098.74268
453	39098.71002
454	39087.46876
455	39079.37802
456	39078.08262
457	39058.06514
458	39048.54944
459	39042.84488
460	39031.45936
461	39031.41536
462	39020.74547
463	39011.44466
464	39010.61427
465	39008.67345
466	39004.35278
467	38996.24401
468	38980.35516
469	38967.63386
470	38959.89201
471	38948.63687
472	38935.91824
473	38926.10561
474	38923.44749
475	38915.2338
476	38904.88541
477	38904.80911
478	38897.09218
479	38886.77435
480	38874.52868
481	38873.13661
482	38865.84998
483	38859.79882
484	38859.62383
485	38851.33747
486	38849.10617
487	38842.20073
488	38834.94375
489	38822.81135
490	38814.7579
491	38800.20845
492	38791.8431
493	38781.86308
494	38778.53085
495	38767.67443
496	38760.97576
497	38760.97066
498	38751.45458
499	38740.64216
500	38733.51157
501	38718.55682
502	38702.84068
503	38688.78638
504	38678.90954
505	38668.763
506	38663.54084
507	38656.81701
508	38645.58793
509	38636.88137
510	38617.11491
511	38609.86316
512	38609.79958
513	38601.92003
514	38600.1979
515	38592.15492
516	38583.91734
517	38578.25575
518	38567.83935
519	38560.8401
520	38550.57335
521	38540.54275
522	38536.35981
523	38527.07841
524	38518.8566
525	38510.43807
526	38503.78122
527	38493.98485
528	38487.75917
529	38479.05927
530	38472.05567
531	38463.00051
532	38456.06117
533	38453.65081
534	38442.81092
535	38436.7652
536	38428.04738
537	38419.10354
538	38418.0892
539	38406.8058
540	38399.7073
541	38389.48149
542	38380.61756
543	38374.97133
544	38367.63937
545	38362.12691
546	38353.08882
547	38352.58646
548	38347.27242
549	38339.17254
550	38335.4217
551	38331.5659
552	38320.93818
553	38314.62229
554	38305.87676
555	38301.55544
556	38293.77425
557	38287.21494
558	38284.61011
559	38283.40329
560	38276.52648
561	38276.5231
562	38268.45072
563	38259.76772
564	38253.54264
565	38244.76886
566	38242.27842
567	38240.88739
568	38240.48081
569	38228.91957
570	38221.33507
571	38210.19606
572	38203.39631
573	38201.83576
574	38194.15598
575	38192.88478
576	38188.95029
577	38181.37167
578	38181.36879
579	38175.21576
580	38172.23297
581	38165.27749
582	38160.04042
583	38155.78611
584	38147.83935
585	38141.30024
586	38132.46786
587	38127.98232
588	38125.6944
589	38123.76914
590	38114.82483
591	38113.91279
592	38113.87474
593	38106.31682
594	38099.79456
595	38092.53836
596	38084.89452
597	38079.16608
598	38078.35376
599	38070.06588
600	38066.58625
601	38062.52964
602	38054.07709
603	38045.12688
604	38045.12495
605	38045.07877
606	38039.56554
607	38036.01457
608	38029.13928
609	38024.42589
610	38015.98573
611	38008.38263
612	38001.55921
613	37998.20426
614	37991.45904
615	37983.10401
616	37976.66327
617	37973.71747
618	37965.42085
619	37963.7925
620	37957.83047
621	37948.90191
622	37948.10558
623	37943.92748
624	37937.96634
625	37926.20837
626	37916.4657
627	37911.21692
628	37899.73801
629	37894.78807
630	37894.75965
631	37893.15497
632	37891.48961
633	37884.29809
634	37878.78674
635	37875.81011
636	37867.85022
637	37862.3455
638	37857.67409
639	37847.15018
640	37847.14881
641	37842.93914
642	37842.9155
643	37838.93367
644	37833.01416
645	37826.90507
646	37817.36291
647	37808.01851
648	37806.10901
649	37792.9018
650	37784.91551
651	37778.82698
652	37773.70973
653	37767.99673
654	37756.22175
655	37747.44138
656	37743.60783
657	37736.78645
658	37729.10969
659	37727.64253
660	37715.81615
661	37706.29142
662	37701.20623
663	37694.3224
664	37688.51966
665	37687.47665
666	37683.68973
667	37676.81584
668	37673.14027
669	37665.98745
670	37657.38227
671	37650.08671
672	37645.09774
673	37644.75984
674	37639.70589
675	37634.58893
676	37625.81325
677	37625.79431
678	37619.28788
679	37618.17199
680	37618.15556
681	37611.53117
682	37601.16628
683	37595.18192
684	37590.99131
685	37582.15643
686	37575.50866
687	37572.38452
688	37566.2737
689	37560.11463
690	37559.11591
691	37551.86305
692	37548.90845
693	37545.2175
694	37541.92364
695	37539.72378
696	37530.75297
697	37529.06022
698	37527.38957
699	37518.55823
700	37510.6332
701	37510.3403
702	37510.27252
703	37507.83588
704	37502.17356
705	37502.16404
706	37491.32774
707	37483.58518
708	37475.28583
709	37474.01956
710	37468.22138
711	37462.3249
712	37458.21713
713	37456.45926
714	37451.96156
715	37448.01559
716	37448.01074
717	37440.0634
718	37435.88786
719	37430.7317
720	37424.59055
721	37424.57069
722	37417.63507
723	37411.52376
724	37402.89373
725	37396.89808
726	37391.10161
727	37387.13233
728	37382.608
729	37382.50404
730	37375.20684
731	37371.38177
732	37365.24774
733	37354.55808
734	37345.15219
735	37339.184
736	37331.58099
737	37325.28014
738	37318.26403
739	37313.30026
740	37304.76381
741	37304.02468
742	37298.74118
743	37290.71175
744	37287.84098
745	37283.43595
746	37280.169
747	37274.22371
748	37269.11933
749	37269.09945
750	37265.25442
751	37262.30457
752	37253.08921
753	37246.51324
754	37242.10517
755	37242.09426
756	37234.48656
757	37224.1294
758	37211.99624
759	37210.11552
760	37207.776
761	37204.6085
762	37203.94712
763	37199.55306
764	37197.04071
765	37191.22714
766	37188.34102
767	37183.44809
768	37176.89894
769	37170.95191
770	37170.28516
771	37164.01131
772	37159.94521
773	37152.68439
774	37145.11807
775	37135.82796
776	37132.39194
777	37125.15291
778	37116.32872
779	37115.724
780	37111.69508
781	37106.70082
782	37103.43425
783	37100.25167
784	37096.2676
785	37090.85905
786	37080.33724
787	37074.39269
788	37070.42137
789	37067.91078
790	37064.54167
791	37064.52905
792	37055.69722
793	37053.92043
794	37049.1142
795	37043.54827
796	37037.04208
797	37032.73014
798	37024.28356
799	37015.49697
800	37011.9988
801	37006.34468
802	37001.39502
803	36994.26954
804	36985.84202
805	36980.58195
806	36978.04326
807	36973.31783
808	36969.2506
809	36961.79166
810	36960.62786
811	36951.32344
812	36946.01868
813	36937.04253
814	36927.88223
815	36921.7132
816	36916.6288
817	36913.83682
818	36909.74711
819	36906.38743
820	36905.67099
821	36902.42021
822	36897.63778
823	36891.53365
824	36886.96534
825	36880.0408
826	36875.57939
827	36870.85348
828	36866.58398
829	36865.41905
830	36861.61808
831	36859.74827
832	36854.66001
833	36852.24902
834	36851.4591
835	36847.77077
836	36844.85373
837	36841.35838
838	36832.0562
839	36827.65623
840	36825.80957
841	36822.82167
842	36816.70741
843	36810.77323
844	36806.6926
845	36806.69098
846	36800.49499
847	36797.69544
848	36796.42498
849	36790.11902
850	36787.07899
851	36783.71345
852	36779.06429
853	36774.99873
854	36771.83363
855	36764.08257
856	36755.30535
857	36752.23235
858	36746.39581
859	36739.33838
860	36732.30292
861	36727.36516
862	36722.85646
863	36718.88343
864	36711.70235
865	36706.83505
866	36705.39097
867	36700.67662
868	36696.67636
869	36692.23675
870	36689.7174
871	36684.42656
872	36679.76601
873	36675.02697
874	36670.20031
875	36665.57743
876	36660.92487
877	36654.22658
878	36650.03032
879	36647.55486
880	36643.46391
881	36638.75002
882	36636.13081
883	36629.94266
884	36626.13975
885	36614.76087
886	36609.88389
887	36605.81873
888	36599.33915
889	36593.9832
890	36588.08205
891	36584.91391
892	36576.01049
893	36571.03609
894	36568.14294
895	36564.40882
896	36554.7086
897	36550.24008
898	36545.52881
899	36539.01642
900	36531.97891
901	36530.84923
902	36526.74605
903	36522.92379
904	36514.56851
905	36507.00693
906	36501.807
907	36497.72513
908	36493.80478
909	36492.02535
910	36491.65512
911	36488.10482
912	36483.82495
913	36480.15666
914	36473.78052
915	36468.39128
916	36465.80136
917	36456.47542
918	36456.40266
919	36450.40894
920	36443.30898
921	36439.71027
922	36434.26132
923	36429.94967
924	36427.73755
925	36427.68835
926	36426.87146
927	36421.34423
928	36414.52355
929	36412.86851
930	36406.75714
931	36398.53565
932	36395.83179
933	36395.82544
934	36395.44393
935	36395.43748
936	36390.8252
937	36386.53399
938	36381.90526
939	36375.88991
940	36368.40619
941	36361.3744
942	36356.68262
943	36348.2557
944	36348.25154
945	36345.64058
946	36341.80459
947	36338.28288
948	36333.58434
949	36331.37955
950	36330.47755
951	36327.52783
952	36324.5176
953	36318.70755
954	36317.23583
955	36317.23517
956	36309.85934
957	36303.69759
958	36303.14264
959	36300.24755
960	36295.79774
961	36291.03369
962	36290.39527
963	36287.00398
964	36282.07984
965	36278.45771
966	36275.63476
967	36265.57628
968	36265.54655
969	36259.08505
970	36256.49953
971	36253.22628
972	36246.98135
973	36239.30982
974	36239.30921
975	36238.77091
976	36234.35214
977	36227.5832
978	36220.44241
979	36220.06505
980	36215.53098
981	36209.1941
982	36204.16676
983	36202.73986
984	36201.0078
985	36197.16166
986	36194.58087
987	36193.54055
988	36187.01749
989	36182.84583
990	36178.86644
991	36170.96965
992	36166.9516
993	36166.4315
994	36162.20391
995	36157.04557
996	36153.31156
997	36148.8764
998	36147.94654
999	36145.27704
1000	36142.38249
1001	36138.59149
1002	36133.26744
1003	36127.27444
1004	36125.95519
1005	36121.35344
1006	36116.80555
1007	36116.52137
1008	36115.49006
1009	36111.06455
1010	36106.20118
1011	36101.60933
1012	36099.6885
1013	36092.67799
1014	36092.64948
1015	36092.31882
1016	36086.00661
1017	36083.18107
1018	36078.36521
1019	36078.22829
1020	36072.02412
1021	36068.21007
1022	36064.9534
1023	36062.55176
1024	36059.01413
1025	36055.68965
1026	36053.33452
1027	36046.95203
1028	36046.0485
1029	36042.82597
1030	36041.73011
